Sample Name	Protocol REF	Parameter Value[HD]	Unit	Term Source REF	Term Accession Number	Parameter Value[PH]	Unit	Term Source REF	Term Accession Number	Parameter Value[TKW]	Unit	Term Source REF	Term Accession Number	Parameter Value[EW]	Unit	Term Source REF	Term Accession Number	Parameter Value[GPE]	Unit	Term Source REF	Parameter Value[GY]	Unit	Term Source REF	Parameter Value[SW]	Unit	Term Source REF	Parameter Value[GH]	Unit	Term Source REF	Term Accession Number	Parameter Value[STC]	Unit	Term Source REF	Term Accession Number	Parameter Value[PC]	Unit	Term Source REF	Term Accession Number	Parameter Value[SDS]	Unit	Term Source REF	Term Accession Number	Parameter Value[HAG]	Unit	Term Source REF	Term Accession Number	Parameter Value[ZEL]	Unit	Term Source REF	Term Accession Number
sample_1	Phenotyping	150	days	UO	http://purl.obolibrary.org/obo/UO_0000033	92	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	54.0	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021	45.8	number	UO	99.1666666666667	dt/ha	UO	76.4	kg/hL	UO	49.0	%	UO	http://purl.obolibrary.org/obo/UO_0000187		%	UO	http://purl.obolibrary.org/obo/UO_0000187	11.3	%	UO	http://purl.obolibrary.org/obo/UO_0000187	64.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098		sec	UO	http://purl.obolibrary.org/obo/UO_0000010	39.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_10	Phenotyping	146	days	UO	http://purl.obolibrary.org/obo/UO_0000033	85	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	46.0	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021	57.6	number	UO	99.0	dt/ha	UO	74.8	kg/hL	UO	50.0	%	UO	http://purl.obolibrary.org/obo/UO_0000187		%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.83	%	UO	http://purl.obolibrary.org/obo/UO_0000187	85.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098		sec	UO	http://purl.obolibrary.org/obo/UO_0000010	56.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_100	Phenotyping	140	days	UO	http://purl.obolibrary.org/obo/UO_0000033	107	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	50.0	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021	35.2	number	UO	95.6666666666667	dt/ha	UO	80.4	kg/hL	UO	56.0	%	UO	http://purl.obolibrary.org/obo/UO_0000187		%	UO	http://purl.obolibrary.org/obo/UO_0000187	12.65	%	UO	http://purl.obolibrary.org/obo/UO_0000187	94.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098		sec	UO	http://purl.obolibrary.org/obo/UO_0000010	67.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_1000	Phenotyping	146	days	UO	http://purl.obolibrary.org/obo/UO_0000033	91	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	54.1	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	82.2545454545455	dt/ha	UO	85.7	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	69.8	%	UO	http://purl.obolibrary.org/obo/UO_0000187	11.7	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	282.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	63.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_1001	Phenotyping	152	days	UO	http://purl.obolibrary.org/obo/UO_0000033	82	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	48.1	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	109.563636363636	dt/ha	UO	79.5	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.7	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.2	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	319.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	28.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_1002	Phenotyping	151	days	UO	http://purl.obolibrary.org/obo/UO_0000033	94	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	50.0	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	107.163636363636	dt/ha	UO	82.9	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.1	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.6	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	254.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	41.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_1003	Phenotyping	154	days	UO	http://purl.obolibrary.org/obo/UO_0000033	87	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	48.8	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	115.872727272727	dt/ha	UO	79.3	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.7	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.0	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	250.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	25.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_1004	Phenotyping	150	days	UO	http://purl.obolibrary.org/obo/UO_0000033	91	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	49.8	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	120.4	dt/ha	UO	80.9	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.9	%	UO	http://purl.obolibrary.org/obo/UO_0000187	9.8	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	361.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	23.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_1005	Phenotyping	150	days	UO	http://purl.obolibrary.org/obo/UO_0000033	92	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	50.3	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	105.218181818182	dt/ha	UO	83.3	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	71.0	%	UO	http://purl.obolibrary.org/obo/UO_0000187	11.3	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	279.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	48.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
sample_1006	Phenotyping	152	days	UO	http://purl.obolibrary.org/obo/UO_0000033	75	cm	UO	http://purl.obolibrary.org/obo/UO_0000015	49.5	g	UO	http://purl.obolibrary.org/obo/UO_0000021		g	UO	http://purl.obolibrary.org/obo/UO_0000021		number	UO	110.327272727273	dt/ha	UO	79.3	kg/hL	UO		%	UO	http://purl.obolibrary.org/obo/UO_0000187	70.8	%	UO	http://purl.obolibrary.org/obo/UO_0000187	10.8	%	UO	http://purl.obolibrary.org/obo/UO_0000187		ml	UO	http://purl.obolibrary.org/obo/UO_0000098	249.0	sec	UO	http://purl.obolibrary.org/obo/UO_0000010	21.0	ml	UO	http://purl.obolibrary.org/obo/UO_0000098
