Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Genus]	Characteristics[Species]	Characteristics[Observation Unit Type]	Characteristics[Variety Name]	Characteristics[Original Coding]	Characteristics[Reference Database 1]	Characteristics[Reference Database 2]	Protocol REF	Sample Name	Factor Value[year]	Factor Value[loc]	Factor Value[rep]	Factor Value[block]
genotype_1	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Actros	GW0001	http://wheatpedigree.net/sort/show/88364	https://www.proplanta.de/Pflanzenbauberater/Sorten/Actros-Winterweichweizen_sks_3200WW1.html	Phenotyping	sample_3581	2010	JAN	1	20
genotype_1	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Actros	GW0001	http://wheatpedigree.net/sort/show/88364	https://www.proplanta.de/Pflanzenbauberater/Sorten/Actros-Winterweichweizen_sks_3200WW1.html	Phenotyping	sample_3181	2010	AND	2	40
genotype_1	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Actros	GW0001	http://wheatpedigree.net/sort/show/88364	https://www.proplanta.de/Pflanzenbauberater/Sorten/Actros-Winterweichweizen_sks_3200WW1.html	Phenotyping	sample_2721	2010	AND	1	17
genotype_1	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Actros	GW0001	http://wheatpedigree.net/sort/show/88364	https://www.proplanta.de/Pflanzenbauberater/Sorten/Actros-Winterweichweizen_sks_3200WW1.html	Phenotyping	sample_6131	2010	WOH	2	54
genotype_1	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Actros	GW0001	http://wheatpedigree.net/sort/show/88364	https://www.proplanta.de/Pflanzenbauberater/Sorten/Actros-Winterweichweizen_sks_3200WW1.html	Phenotyping	sample_1991	2009	WOH	1	40
genotype_1	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Actros	GW0001	http://wheatpedigree.net/sort/show/88364	https://www.proplanta.de/Pflanzenbauberater/Sorten/Actros-Winterweichweizen_sks_3200WW1.html	Phenotyping	sample_5861	2010	WOH	1	27
genotype_1	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Actros	GW0001	http://wheatpedigree.net/sort/show/88364	https://www.proplanta.de/Pflanzenbauberater/Sorten/Actros-Winterweichweizen_sks_3200WW1.html	Phenotyping	sample_2171	2009	WOH	2	58
genotype_1	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Actros	GW0001	http://wheatpedigree.net/sort/show/88364	https://www.proplanta.de/Pflanzenbauberater/Sorten/Actros-Winterweichweizen_sks_3200WW1.html	Phenotyping	sample_1	2009	AND	1	1
genotype_1	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Actros	GW0001	http://wheatpedigree.net/sort/show/88364	https://www.proplanta.de/Pflanzenbauberater/Sorten/Actros-Winterweichweizen_sks_3200WW1.html	Phenotyping	sample_4301	2010	SAU	1	16
genotype_1	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Actros	GW0001	http://wheatpedigree.net/sort/show/88364	https://www.proplanta.de/Pflanzenbauberater/Sorten/Actros-Winterweichweizen_sks_3200WW1.html	Phenotyping	sample_3441	2010	JAN	2	13
genotype_1	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Actros	GW0001	http://wheatpedigree.net/sort/show/88364	https://www.proplanta.de/Pflanzenbauberater/Sorten/Actros-Winterweichweizen_sks_3200WW1.html	Phenotyping	sample_1231	2009	SEL	2	44
genotype_1	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Actros	GW0001	http://wheatpedigree.net/sort/show/88364	https://www.proplanta.de/Pflanzenbauberater/Sorten/Actros-Winterweichweizen_sks_3200WW1.html	Phenotyping	sample_811	2009	SEL	1	2
genotype_1	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Actros	GW0001	http://wheatpedigree.net/sort/show/88364	https://www.proplanta.de/Pflanzenbauberater/Sorten/Actros-Winterweichweizen_sks_3200WW1.html	Phenotyping	sample_461	2009	AND	2	47
genotype_1	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Actros	GW0001	http://wheatpedigree.net/sort/show/88364	https://www.proplanta.de/Pflanzenbauberater/Sorten/Actros-Winterweichweizen_sks_3200WW1.html	Phenotyping	sample_4221	2010	SAU	2	12
genotype_1	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Actros	GW0001	http://wheatpedigree.net/sort/show/88364	https://www.proplanta.de/Pflanzenbauberater/Sorten/Actros-Winterweichweizen_sks_3200WW1.html	Phenotyping	sample_4971	2010	SEL	1	18
