Sample Name	Protocol REF	Parameter Value[FHB]	Parameter Value[DTR]	Parameter Value[SEP]	Assay Name
sample_1	Phenotyping	6.29166666666667			assay_1
sample_10	Phenotyping	2.35			assay_10
sample_100	Phenotyping	8.94555555555556			assay_100
sample_1000	Phenotyping	3.94444444444445			assay_1000
sample_1001	Phenotyping	8.02777777777778			assay_1001
sample_1002	Phenotyping	9.77777777777778			assay_1002
sample_1003	Phenotyping	8.31833333333333			assay_1003
sample_1004	Phenotyping	7.65277777777778			assay_1004
sample_1005	Phenotyping	6.96666666666667			assay_1005
sample_1006	Phenotyping	2.66666666666667			assay_1006
sample_1007	Phenotyping	7.17777777777778			assay_1007
sample_1008	Phenotyping	5.06666666666667			assay_1008
sample_1009	Phenotyping	2.0			assay_1009
sample_101	Phenotyping	7.49444444444444			assay_101
sample_1010	Phenotyping	3.72777777777778			assay_1010
sample_1011	Phenotyping	2.20277777777778			assay_1011
sample_1012	Phenotyping	7.42777777777778			assay_1012
sample_1013	Phenotyping	13.1611111111111			assay_1013
sample_1014	Phenotyping	19.6			assay_1014
sample_1015	Phenotyping	5.80555555555556			assay_1015
sample_1016	Phenotyping	3.54666666666667			assay_1016
sample_1017	Phenotyping	7.34666666666667			assay_1017
sample_1018	Phenotyping	12.7			assay_1018
sample_1019	Phenotyping	12.7111111111111			assay_1019
sample_102	Phenotyping	11.0			assay_102
sample_1020	Phenotyping	12.0			assay_1020
sample_1021	Phenotyping	3.66666666666667			assay_1021
sample_1022	Phenotyping	3.28611111111111			assay_1022
sample_1023	Phenotyping	4.66666666666667			assay_1023
sample_1024	Phenotyping	19.5377777777778			assay_1024
sample_1025	Phenotyping	16.9333333333333			assay_1025
sample_1026	Phenotyping	24.3055555555556			assay_1026
sample_1027	Phenotyping	19.9111111111111			assay_1027
sample_1028	Phenotyping	11.3333333333333			assay_1028
sample_1029	Phenotyping	23.6111111111111			assay_1029
sample_103	Phenotyping	2.88888888888889			assay_103
sample_1030	Phenotyping	0.966111111111111			assay_1030
sample_1031	Phenotyping	1.6			assay_1031
sample_1032	Phenotyping	1.68888888888889			assay_1032
sample_1033	Phenotyping	4.40555555555556			assay_1033
sample_1034	Phenotyping	12.2222222222222			assay_1034
sample_1035	Phenotyping	8.66666666666667			assay_1035
sample_1036	Phenotyping	4.03333333333333			assay_1036
sample_1037	Phenotyping	5.0			assay_1037
sample_1038	Phenotyping	8.88888888888889			assay_1038
sample_1039	Phenotyping	9.025			assay_1039
sample_104	Phenotyping	3.5			assay_104
sample_1040	Phenotyping	5.82222222222222			assay_1040
sample_1041	Phenotyping	10.65			assay_1041
sample_1042	Phenotyping	2.25			assay_1042
sample_1043	Phenotyping	1.46666666666667			assay_1043
sample_1044	Phenotyping	1.64666666666667			assay_1044
sample_1045	Phenotyping	3.44722222222222			assay_1045
sample_1046	Phenotyping	3.68			assay_1046
sample_1047	Phenotyping	9.11111111111111			assay_1047
sample_1048	Phenotyping	1.1			assay_1048
sample_1049	Phenotyping	1.11111111111111			assay_1049
sample_105	Phenotyping	2.88888888888889			assay_105
sample_1050	Phenotyping	3.46666666666667			assay_1050
sample_1051	Phenotyping	2.83333333333333			assay_1051
sample_1052	Phenotyping	5.04166666666667			assay_1052
sample_1053	Phenotyping	4.36333333333333			assay_1053
sample_1054	Phenotyping	2.85333333333333			assay_1054
sample_1055	Phenotyping	5.33055555555556			assay_1055
sample_1056	Phenotyping	2.95833333333333			assay_1056
sample_1057	Phenotyping	3.11111111111111			assay_1057
sample_1058	Phenotyping	2.31111111111111			assay_1058
sample_1059	Phenotyping	2.33333333333333			assay_1059
sample_106	Phenotyping	30.2166666666667			assay_106
sample_1060	Phenotyping	5.73222222222222			assay_1060
sample_1061	Phenotyping	10.15			assay_1061
sample_1062	Phenotyping	11.2444444444444			assay_1062
sample_1063	Phenotyping	7.0			assay_1063
sample_1064	Phenotyping	8.26666666666667			assay_1064
sample_1065	Phenotyping	7.45555555555555			assay_1065
sample_1066	Phenotyping	4.33333333333333			assay_1066
sample_1067	Phenotyping	2.275			assay_1067
sample_1068	Phenotyping	1.90666666666667			assay_1068
sample_1069	Phenotyping	3.26666666666667			assay_1069
sample_107	Phenotyping	31.8611111111111			assay_107
sample_1070	Phenotyping	3.11111111111111			assay_1070
sample_1071	Phenotyping	2.66666666666667			assay_1071
sample_1072	Phenotyping	13.4166666666667			assay_1072
sample_1073	Phenotyping	12.5888888888889			assay_1073
sample_1074	Phenotyping	9.7			assay_1074
sample_1075	Phenotyping	1.66666666666667			assay_1075
sample_1076	Phenotyping	5.95			assay_1076
sample_1077	Phenotyping	3.25			assay_1077
sample_1078	Phenotyping	7.254			assay_1078
sample_1079	Phenotyping	11.4444444444444			assay_1079
sample_108	Phenotyping	52.0			assay_108
sample_1080	Phenotyping	12.5888888888889			assay_1080
sample_1081	Phenotyping	3.36111111111111			assay_1081
sample_1082	Phenotyping	6.55			assay_1082
sample_1083	Phenotyping	3.69444444444444			assay_1083
sample_1084	Phenotyping	3.16666666666667			assay_1084
sample_1085	Phenotyping	6.54444444444444			assay_1085
sample_1086	Phenotyping	9.68333333333333			assay_1086
sample_1087	Phenotyping	1.61777777777778			assay_1087
sample_1088	Phenotyping	1.90555555555556			assay_1088
sample_1089	Phenotyping	4.01111111111111			assay_1089
sample_109	Phenotyping	12.0			assay_109
sample_1090	Phenotyping	1.26388888888889			assay_1090
sample_1091	Phenotyping	0.6			assay_1091
sample_1092	Phenotyping	0.746666666666667			assay_1092
sample_1093	Phenotyping	11.6666666666667			assay_1093
sample_1094	Phenotyping	10.6666666666667			assay_1094
sample_1095	Phenotyping	16.8666666666667			assay_1095
sample_1096	Phenotyping	1.76777777777778			assay_1096
sample_1097	Phenotyping	1.55555555555556			assay_1097
sample_1098	Phenotyping	1.77777777777778			assay_1098
sample_1099	Phenotyping	20.9444444444444			assay_1099
sample_11	Phenotyping	4.0			assay_11
sample_110	Phenotyping	7.70666666666667			assay_110
sample_1100	Phenotyping	16.8822222222222			assay_1100
sample_1101	Phenotyping	28.7777777777778			assay_1101
sample_1102	Phenotyping	2.88166666666667			assay_1102
sample_1103	Phenotyping	6.66666666666667			assay_1103
sample_1104	Phenotyping	3.13333333333333			assay_1104
sample_1105	Phenotyping	0.533333333333333			assay_1105
sample_1106	Phenotyping	1.58888888888889			assay_1106
sample_1107	Phenotyping	0.7			assay_1107
sample_1108	Phenotyping	0.373333333333333			assay_1108
sample_1109	Phenotyping	0.430555555555556			assay_1109
sample_111	Phenotyping	12.2222222222222			assay_111
sample_1110	Phenotyping	0.696666666666667			assay_1110
sample_1111	Phenotyping	2.06833333333333			assay_1111
sample_1112	Phenotyping	4.05			assay_1112
sample_1113	Phenotyping	3.47111111111111			assay_1113
sample_1114	Phenotyping	3.28888888888889			assay_1114
sample_1115	Phenotyping	2.31111111111111			assay_1115
sample_1116	Phenotyping	2.72222222222222			assay_1116
sample_1117	Phenotyping	1.73333333333333			assay_1117
sample_1118	Phenotyping	3.34444444444444			assay_1118
sample_1119	Phenotyping	4.0			assay_1119
sample_112	Phenotyping	15.4			assay_112
sample_1120	Phenotyping	14.1333333333333			assay_1120
sample_1121	Phenotyping	22.5			assay_1121
sample_1122	Phenotyping	22.2666666666667			assay_1122
sample_1123	Phenotyping	3.67333333333333			assay_1123
sample_1124	Phenotyping	4.36944444444445			assay_1124
sample_1125	Phenotyping	6.38			assay_1125
sample_1126	Phenotyping	8.97222222222222			assay_1126
sample_1127	Phenotyping	7.60277777777778			assay_1127
sample_1128	Phenotyping	23.6833333333333			assay_1128
sample_1129	Phenotyping	0.977777777777778			assay_1129
sample_113	Phenotyping	22.3888888888889			assay_113
sample_1130	Phenotyping	0.746666666666667			assay_1130
sample_1131	Phenotyping	0.916666666666667			assay_1131
sample_1132	Phenotyping	4.36666666666667			assay_1132
sample_1133	Phenotyping	7.55555555555556			assay_1133
sample_1134	Phenotyping	10.7			assay_1134
sample_1135	Phenotyping	3.01022222222222			assay_1135
sample_1136	Phenotyping	2.53333333333333			assay_1136
sample_1137	Phenotyping	4.16888888888889			assay_1137
sample_1138	Phenotyping	2.88888888888889			assay_1138
sample_1139	Phenotyping	5.2			assay_1139
sample_114	Phenotyping	22.6666666666667			assay_114
sample_1140	Phenotyping	5.01666666666667			assay_1140
sample_1141	Phenotyping	1.55555555555556			assay_1141
sample_1142	Phenotyping	2.0			assay_1142
sample_1143	Phenotyping	1.46666666666667			assay_1143
sample_1144	Phenotyping	9.91666666666667			assay_1144
sample_1145	Phenotyping	6.77777777777778			assay_1145
sample_1146	Phenotyping	8.55555555555556			assay_1146
sample_1147	Phenotyping	1.65			assay_1147
sample_1148	Phenotyping	3.20111111111111			assay_1148
sample_1149	Phenotyping	3.79166666666667			assay_1149
sample_115	Phenotyping	5.0			assay_115
sample_1150	Phenotyping	1.14333333333333			assay_1150
sample_1151	Phenotyping	3.83333333333333			assay_1151
sample_1152	Phenotyping	4.48888888888889			assay_1152
sample_1153	Phenotyping	0.472222222222222			assay_1153
sample_1154	Phenotyping	1.11111111111111			assay_1154
sample_1155	Phenotyping	1.27777777777778			assay_1155
sample_1156	Phenotyping	6.5			assay_1156
sample_1157	Phenotyping	4.44			assay_1157
sample_1158	Phenotyping	7.25777777777778			assay_1158
