Sample Name	Protocol REF	Parameter Value[FHB]	Unit	Term Source REF	Parameter Value[DTR]	Unit	Term Source REF	Parameter Value[SEP]	Unit	Term Source REF
sample_1	Phenotyping	6.29166666666667	score	UO		score	UO		score	UO
sample_10	Phenotyping	2.35	score	UO		score	UO		score	UO
sample_100	Phenotyping	8.94555555555556	score	UO		score	UO		score	UO
sample_1000	Phenotyping	3.94444444444445	score	UO		score	UO		score	UO
sample_1001	Phenotyping	8.02777777777778	score	UO		score	UO		score	UO
sample_1002	Phenotyping	9.77777777777778	score	UO		score	UO		score	UO
sample_1003	Phenotyping	8.31833333333333	score	UO		score	UO		score	UO
sample_1004	Phenotyping	7.65277777777778	score	UO		score	UO		score	UO
sample_1005	Phenotyping	6.96666666666667	score	UO		score	UO		score	UO
sample_1006	Phenotyping	2.66666666666667	score	UO		score	UO		score	UO
sample_1007	Phenotyping	7.17777777777778	score	UO		score	UO		score	UO
sample_1008	Phenotyping	5.06666666666667	score	UO		score	UO		score	UO
sample_1009	Phenotyping	2.0	score	UO		score	UO		score	UO
sample_101	Phenotyping	7.49444444444444	score	UO		score	UO		score	UO
sample_1010	Phenotyping	3.72777777777778	score	UO		score	UO		score	UO
sample_1011	Phenotyping	2.20277777777778	score	UO		score	UO		score	UO
sample_1012	Phenotyping	7.42777777777778	score	UO		score	UO		score	UO
sample_1013	Phenotyping	13.1611111111111	score	UO		score	UO		score	UO
sample_1014	Phenotyping	19.6	score	UO		score	UO		score	UO
sample_1015	Phenotyping	5.80555555555556	score	UO		score	UO		score	UO
sample_1016	Phenotyping	3.54666666666667	score	UO		score	UO		score	UO
sample_1017	Phenotyping	7.34666666666667	score	UO		score	UO		score	UO
sample_1018	Phenotyping	12.7	score	UO		score	UO		score	UO
sample_1019	Phenotyping	12.7111111111111	score	UO		score	UO		score	UO
sample_102	Phenotyping	11.0	score	UO		score	UO		score	UO
sample_1020	Phenotyping	12.0	score	UO		score	UO		score	UO
sample_1021	Phenotyping	3.66666666666667	score	UO		score	UO		score	UO
sample_1022	Phenotyping	3.28611111111111	score	UO		score	UO		score	UO
sample_1023	Phenotyping	4.66666666666667	score	UO		score	UO		score	UO
sample_1024	Phenotyping	19.5377777777778	score	UO		score	UO		score	UO
sample_1025	Phenotyping	16.9333333333333	score	UO		score	UO		score	UO
sample_1026	Phenotyping	24.3055555555556	score	UO		score	UO		score	UO
sample_1027	Phenotyping	19.9111111111111	score	UO		score	UO		score	UO
sample_1028	Phenotyping	11.3333333333333	score	UO		score	UO		score	UO
sample_1029	Phenotyping	23.6111111111111	score	UO		score	UO		score	UO
sample_103	Phenotyping	2.88888888888889	score	UO		score	UO		score	UO
sample_1030	Phenotyping	0.966111111111111	score	UO		score	UO		score	UO
sample_1031	Phenotyping	1.6	score	UO		score	UO		score	UO
sample_1032	Phenotyping	1.68888888888889	score	UO		score	UO		score	UO
