Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Genus]	Characteristics[Species]	Characteristics[Observation Unit Type]	Characteristics[Variety Name]	Characteristics[Variety Database 1]	Characteristics[Variety Database 2]	Characteristics[Biological Material Latitude]	Characteristics[Biological Material Longitude]	Characteristics[Original Coding]	Protocol REF	Sample Name	Factor Value[year]	Factor Value[loc]	Factor Value[rep]
genotype_1	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Actros	http://wheatpedigree.net/sort/show/88364	https://www.proplanta.de/Pflanzenbauberater/Sorten/Actros-Winterweichweizen_sks_3200WW1.html	52.1	11	GW0001	Phenotyping	sample_2401	2010	AHL	1
genotype_1	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Actros	http://wheatpedigree.net/sort/show/88364	https://www.proplanta.de/Pflanzenbauberater/Sorten/Actros-Winterweichweizen_sks_3200WW1.html	54.8333333333333	8.15	GW0001	Phenotyping	sample_4801	2010	CEC	1
genotype_1	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Actros	http://wheatpedigree.net/sort/show/88364	https://www.proplanta.de/Pflanzenbauberater/Sorten/Actros-Winterweichweizen_sks_3200WW1.html	51.15	9.83333333333333	GW0001	Phenotyping	sample_3602	2010	BOD	2
genotype_1	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Actros	http://wheatpedigree.net/sort/show/88364	https://www.proplanta.de/Pflanzenbauberater/Sorten/Actros-Winterweichweizen_sks_3200WW1.html	51.15	9.83333333333333	GW0001	Phenotyping	sample_3603	2010	BOD	3
genotype_1	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Actros	http://wheatpedigree.net/sort/show/88364	https://www.proplanta.de/Pflanzenbauberater/Sorten/Actros-Winterweichweizen_sks_3200WW1.html	51.15	9.83333333333333	GW0001	Phenotyping	sample_3601	2010	BOD	1
genotype_1	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Actros	http://wheatpedigree.net/sort/show/88364	https://www.proplanta.de/Pflanzenbauberater/Sorten/Actros-Winterweichweizen_sks_3200WW1.html	54.8333333333333	8.15	GW0001	Phenotyping	sample_4802	2010	CEC	2
genotype_1	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Actros	http://wheatpedigree.net/sort/show/88364	https://www.proplanta.de/Pflanzenbauberater/Sorten/Actros-Winterweichweizen_sks_3200WW1.html	54.8333333333333	8.15	GW0001	Phenotyping	sample_1201	2009	CEC	1
genotype_1	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Actros	http://wheatpedigree.net/sort/show/88364	https://www.proplanta.de/Pflanzenbauberater/Sorten/Actros-Winterweichweizen_sks_3200WW1.html	54.8333333333333	8.15	GW0001	Phenotyping	sample_1202	2009	CEC	2
genotype_1	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Actros	http://wheatpedigree.net/sort/show/88364	https://www.proplanta.de/Pflanzenbauberater/Sorten/Actros-Winterweichweizen_sks_3200WW1.html	52.3333333333333	10.3333333333333	GW0001	Phenotyping	sample_6002	2010	LAF	2
genotype_1	Triticum aestivum	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_4565	Triticum	aestivum	plot	Actros	http://wheatpedigree.net/sort/show/88364	https://www.proplanta.de/Pflanzenbauberater/Sorten/Actros-Winterweichweizen_sks_3200WW1.html	54.8333333333333	8.15	GW0001	Phenotyping	sample_4803	2010	CEC	3
